mpc,search_prob,wage,final_gdp,target_gdp,error_pct,emergent_productivity
0.5,0.3,50,99913.15714902653,80126,24.69505172980872,1.9399946569220632
0.6,0.3,30,60297.442123771136,80126,24.746721259302678,1.9375651604215673
0.5,0.4,50,100098.32520959074,80126,24.9261478291575,1.9332844746664812
0.5,0.4,30,60140.13199040638,80126,24.943049708700823,1.9382857538545883
0.55,0.3,30,60096.881419663645,80126,24.997027906467757,1.9378796042811417
0.55,0.3,50,100256.93939960861,80126,25.12410378604774,1.9398787611591268
0.5,0.3,30,59884.13802870842,80126,25.262538965244218,1.9377855073342865
0.6,0.3,50,100371.15054738721,80126,25.266643221160685,1.9393872570037745
0.55,0.4,50,100454.58296201327,80126,25.370769740175813,1.933348162002268
0.65,0.3,50,100708.92859759707,80126,25.68820182911548,1.9391785775725214
0.6,0.4,50,100807.65953201328,80126,25.811421426270222,1.933348162002268
0.7,0.3,50,101147.98625145903,80126,26.23616086096777,1.9385588409155898
0.65,0.4,50,101313.14811396945,80126,26.44228853801444,1.934371162279389
0.7,0.4,50,101666.57811396946,80126,26.88338131688773,1.934371162279389
0.7,0.2,30,58052.368282576695,80126,27.548650522206653,1.9397356732132176
0.65,0.2,30,57351.095347941584,80126,28.423863230485008,1.9389803393468357
0.55,0.2,30,57198.78998078483,80126,28.61394555976234,1.941073602849553
0.6,0.2,30,57148.88152509875,80126,28.676233026609648,1.9387809035066792
0.5,0.2,30,57009.10272462836,80126,28.850681770426124,1.941339094343152
