productivity,mpc,wage,search_prob,error
1.8,0.6499999999999999,62.5,0.5,5327301482.05359
1.8,0.6499999999999999,75.0,0.30000000000000004,13583028437.13379
1.8,0.6499999999999999,75.0,0.35000000000000003,15300138766.06605
1.8,0.6499999999999999,75.0,0.4,16694775777.084103
1.8,0.6499999999999999,75.0,0.45000000000000007,17793835167.451054
1.8,0.6499999999999999,75.0,0.5,18805344942.535206
1.8,0.6749999999999999,25.0,0.30000000000000004,28248671803.645416
1.8,0.6749999999999999,25.0,0.35000000000000003,26367053894.704556
1.8,0.6749999999999999,25.0,0.4,25000428578.21365
1.8,0.6749999999999999,25.0,0.45000000000000007,23967732894.811512
1.8,0.6749999999999999,25.0,0.5,23125109539.39006
1.8,0.6749999999999999,37.5,0.30000000000000004,12598401764.593124
1.8,0.6749999999999999,37.5,0.35000000000000003,10696220408.151182
1.8,0.6749999999999999,37.5,0.4,9333096553.476173
1.8,0.6749999999999999,37.5,0.45000000000000007,8308696333.444639
1.8,0.6749999999999999,37.5,0.5,7487183780.481014
1.8,0.6749999999999999,50.0,0.30000000000000004,4937371190.490419
1.8,0.6749999999999999,50.0,0.35000000000000003,3628123391.193642
1.8,0.6749999999999999,50.0,0.4,2726377078.3754244
1.8,0.6749999999999999,50.0,0.45000000000000007,2060034525.0956032
1.8,0.6749999999999999,50.0,0.5,1554581094.7021937
1.8,0.6749999999999999,62.5,0.30000000000000004,5265580081.337309
1.8,0.6749999999999999,62.5,0.35000000000000003,5162762843.831933
1.8,0.6749999999999999,62.5,0.4,5180270152.911401
1.8,0.6749999999999999,62.5,0.45000000000000007,5221747469.764409
1.8,0.6749999999999999,62.5,0.5,5327301482.05359
1.8,0.6749999999999999,75.0,0.30000000000000004,13583028437.13379
1.8,0.6749999999999999,75.0,0.35000000000000003,15300138766.06605
1.8,0.6749999999999999,75.0,0.4,16694775777.084103
1.8,0.6749999999999999,75.0,0.45000000000000007,17793835167.451054
1.8,0.6749999999999999,75.0,0.5,18805344942.535206
1.8,0.7,25.0,0.30000000000000004,28248671803.645416
1.8,0.7,25.0,0.35000000000000003,26367053894.704556
1.8,0.7,25.0,0.4,25000428578.21365
1.8,0.7,25.0,0.45000000000000007,23967732894.811512
1.8,0.7,25.0,0.5,23125109539.39006
1.8,0.7,37.5,0.30000000000000004,12598401764.593124
1.8,0.7,37.5,0.35000000000000003,10696220408.151182
1.8,0.7,37.5,0.4,9333096553.476173
1.8,0.7,37.5,0.45000000000000007,8308696333.444639
1.8,0.7,37.5,0.5,7487183780.481014
1.8,0.7,50.0,0.30000000000000004,4937371190.490419
1.8,0.7,50.0,0.35000000000000003,3628123391.193642
1.8,0.7,50.0,0.4,2726377078.3754244
1.8,0.7,50.0,0.45000000000000007,2060034525.0956032
1.8,0.7,50.0,0.5,1554581094.7021937
1.8,0.7,62.5,0.30000000000000004,5265580081.337309
1.8,0.7,62.5,0.35000000000000003,5162762843.831933
1.8,0.7,62.5,0.4,5180270152.911401
1.8,0.7,62.5,0.45000000000000007,5221747469.764409
1.8,0.7,62.5,0.5,5327301482.05359
1.8,0.7,75.0,0.30000000000000004,13583028437.13379
1.8,0.7,75.0,0.35000000000000003,15300138766.06605
1.8,0.7,75.0,0.4,16694775777.084103
1.8,0.7,75.0,0.45000000000000007,17793835167.451054
1.8,0.7,75.0,0.5,18805344942.535206
1.8,0.725,25.0,0.30000000000000004,28248671803.645416
1.8,0.725,25.0,0.35000000000000003,26367053894.704556
1.8,0.725,25.0,0.4,25000428578.21365
1.8,0.725,25.0,0.45000000000000007,23967732894.811512
1.8,0.725,25.0,0.5,23125109539.39006
1.8,0.725,37.5,0.30000000000000004,12598401764.593124
1.8,0.725,37.5,0.35000000000000003,10696220408.151182
1.8,0.725,37.5,0.4,9333096553.476173
1.8,0.725,37.5,0.45000000000000007,8308696333.444639
1.8,0.725,37.5,0.5,7487183780.481014
1.8,0.725,50.0,0.30000000000000004,4937371190.490419
1.8,0.725,50.0,0.35000000000000003,3628123391.193642
1.8,0.725,50.0,0.4,2726377078.3754244
1.8,0.725,50.0,0.45000000000000007,2060034525.0956032
1.8,0.725,50.0,0.5,1554581094.7021937
1.8,0.725,62.5,0.30000000000000004,5265580081.337309
1.8,0.725,62.5,0.35000000000000003,5162762843.831933
1.8,0.725,62.5,0.4,5180270152.911401
1.8,0.725,62.5,0.45000000000000007,5221747469.764409
1.8,0.725,62.5,0.5,5327301482.05359
1.8,0.725,75.0,0.30000000000000004,13583028437.13379
1.8,0.725,75.0,0.35000000000000003,15300138766.06605
1.8,0.725,75.0,0.4,16694775777.084103
1.8,0.725,75.0,0.45000000000000007,17793835167.451054
1.8,0.725,75.0,0.5,18805344942.535206
1.8,0.75,25.0,0.30000000000000004,28248671803.645416
1.8,0.75,25.0,0.35000000000000003,26367053894.704556
1.8,0.75,25.0,0.4,25000428578.21365
1.8,0.75,25.0,0.45000000000000007,23967732894.811512
1.8,0.75,25.0,0.5,23125109539.39006
1.8,0.75,37.5,0.30000000000000004,12598401764.593124
1.8,0.75,37.5,0.35000000000000003,10696220408.151182
1.8,0.75,37.5,0.4,9333096553.476173
1.8,0.75,37.5,0.45000000000000007,8308696333.444639
1.8,0.75,37.5,0.5,7487183780.481014
1.8,0.75,50.0,0.30000000000000004,4937371190.490419
1.8,0.75,50.0,0.35000000000000003,3628123391.193642
1.8,0.75,50.0,0.4,2726377078.3754244
1.8,0.75,50.0,0.45000000000000007,2060034525.0956032
1.8,0.75,50.0,0.5,1554581094.7021937
1.8,0.75,62.5,0.30000000000000004,5265580081.337309
1.8,0.75,62.5,0.35000000000000003,5162762843.831933
1.8,0.75,62.5,0.4,5180270152.911401
1.8,0.75,62.5,0.45000000000000007,5221747469.764409
1.8,0.75,62.5,0.5,5327301482.05359
1.8,0.75,75.0,0.30000000000000004,13583028437.13379
1.8,0.75,75.0,0.35000000000000003,15300138766.06605
1.8,0.75,75.0,0.4,16694775777.084103
1.8,0.75,75.0,0.45000000000000007,17793835167.451054
1.8,0.75,75.0,0.5,18805344942.535206
1.9,0.6499999999999999,25.0,0.30000000000000004,26343070773.949585
